1.0035,0.46187	1.04419728,0.46494502	1.07830045,0.4544961	1.12041055,0.4376401	1.1233905,0.43361364	1.14141436,0.41332669	1.11899738,0.43471241	1.0865248,0.4251432	1.05144404,0.43256576	1.0032237,0.44175985	0.98671342,0.45979438	1.02410473,0.43877685	1.0777796,0.42408011	1.13576253,0.41549285	1.15133931,0.42101297	1.17836261,0.4136139	1.02654646,0.45533564	1.09603162,0.43041799	1.0223668,0.43949987	1.03754735,0.45078684	0.9800806,0.48574465	1.10609407,0.47169341	1.077182,0.43887172	1.12101039,0.41505875	1.16596357,0.42912397	1.15836868,0.41114988	1.06989425,0.42952022	1.02299572,0.44727348	1.06050053,0.45722026	1.07945888,0.45114494	0.96752136,0.49358894	1.00185457,0.47276864	1.06478265,0.45026832	1.11838773,0.42609199	1.14890352,0.41875351	1.18409873,0.41727453	1.04322658,0.47328364	1.08882736,0.4473231	0.96895189,0.47724189	0.96582114,0.474672
0.93228,0.39066	0.95079593,0.37552069	0.97755182,0.36449838	1.00302243,0.34211147	1.00719171,0.34334512	1.0345341,0.33417807	0.9952523,0.33450825	0.99177444,0.346498	0.96374458,0.36014184	0.94273685,0.37652999	0.90653266,0.39145089	0.94773949,0.36941575	0.97600471,0.34916402	1.00283872,0.33656901	1.04089684,0.34700883	1.044112,0.32811752	0.92897954,0.37385126	0.96367549,0.34316676	0.93583436,0.36386072	0.94567955,0.36429097	0.90290481,0.41109009	0.94974709,0.37694958	0.98243789,0.34274562	1.01565818,0.32887872	1.02562905,0.32153469	1.03489246,0.30853228	0.96595191,0.34282098	0.91694021,0.37774718	0.94858417,0.36829613	0.95525171,0.35099978	0.87948648,0.41302757	0.91775606,0.39051991	0.96646469,0.34995583	1.00676733,0.32904544	1.02626845,0.3248008	1.04985816,0.32274708	0.93316268,0.36353983	0.93834295,0.35326479	0.87699768,0.37484548	0.90270172,0.3985999
0.86911,0.32616	0.87822351,0.31158788	0.88534666,0.29529988	0.90638212,0.28431648	0.90080816,0.28452613	0.90809333,0.28987106	0.90368984,0.2875755	0.89065433,0.29542349	0.8777253,0.30717841	0.8893247,0.32084624	0.85230878,0.33050721	0.88931205,0.31852099	0.8987523,0.29966544	0.90661218,0.29863631	0.9100456,0.29222586	0.9295996,0.28479793	0.87769423,0.32808629	0.89174952,0.30022803	0.86867661,0.31909207	0.88787333,0.31557827	0.83220649,0.32756034	0.86735409,0.29443645	0.88190296,0.27940903	0.90220867,0.26367196	0.91367453,0.25362539	0.92404409,0.23906749	0.87809746,0.28087002	0.86050361,0.31036656	0.86320654,0.31300946	0.873626,0.28988793	0.83340772,0.35052284	0.85019868,0.32277664	0.86481221,0.2994482	0.87651103,0.28427348	0.88290042,0.28326837	0.8835635,0.28717688	0.8665791,0.30742947	0.84714831,0.30285545	0.83691714,0.32339896	0.84587859,0.32803271
0.77503,0.22404	0.74952068,0.23169636	0.74863188,0.23881677	0.7356848,0.24907787	0.73946583,0.25313218	0.73639967,0.28115287	0.74514461,0.23932832	0.75032885,0.24296709	0.72731657,0.25943478	0.79797903,0.2257853	0.78082222,0.23769786	0.76768928,0.23183195	0.74797221,0.24373821	0.73861237,0.26472275	0.74282927,0.25940702	0.75095514,0.27479304	0.77030853,0.22945283	0.73729045,0.25066706	0.74726743,0.23995645	0.76208086,0.23119815	0.78387213,0.2274401	0.74036761,0.21234417	0.72935332,0.22787179	0.72887373,0.23339588	0.72632085,0.23465706	0.73060869,0.23253751	0.70503083,0.24702987	0.76649196,0.2095881	0.72815151,0.24832003	0.74109216,0.22547402	0.78067132,0.23234273	0.75387361,0.21681789	0.70042187,0.24648204	0.67877374,0.27226793	0.67635287,0.28767889	0.68465892,0.314716	0.7380504,0.22086667	0.66787581,0.28679507	0.77397851,0.22309616	0.78786215,0.22632548
0.74949,0.17567	0.70908099,0.19196411	0.68701505,0.20400595	0.6692497,0.22582289	0.67132421,0.22861609	0.65211738,0.27160162	0.66470197,0.22826657	0.67946997,0.21587347	0.66565009,0.23915674	0.75151444,0.17274705	0.7481908,0.18664519	0.7152009,0.19012073	0.67840496,0.2154936	0.6477105,0.24919864	0.65115521,0.25784736	0.65813284,0.2773156	0.7266367,0.18768012	0.65805849,0.24364321	0.69394881,0.20851426	0.71123507,0.19219692	0.76223173,0.18092448	0.68704269,0.18414778	0.65915765,0.21066746	0.6574527,0.23719215	0.65412311,0.25088101	0.65686089,0.28115462	0.63471876,0.25644443	0.72964787,0.16963356	0.66752821,0.2255036	0.68149256,0.20271816	0.76648292,0.18912433	0.71997622,0.18225486	0.65448556,0.22108083	0.61782697,0.26874156	0.6166752,0.29408957	0.61514515,0.32232026	0.70750795,0.18877364	0.61843224,0.27683269	0.74945261,0.17981941	0.76890398,0.18261726
0.71589,0.12865	0.65869361,0.16339344	0.63999914,0.18269568	0.6029115,0.21833887	0.60650564,0.21826229	0.58682081,0.26665123	0.6023746,0.21844737	0.61549022,0.19743626	0.61001006,0.22330428	0.7217875,0.12908102	0.72201362,0.1430049	0.67628942,0.15316656	0.6273181,0.19134563	0.59536508,0.23233266	0.59303491,0.2470673	0.59667092,0.27154911	0.68884048,0.14557452	0.60267475,0.22704284	0.64711515,0.16700214	0.66463114,0.15809582	0.75576805,0.13074919	0.65291247,0.14650424	0.61383636,0.18615605	0.59617831,0.23014729	0.58785846,0.24998082	0.58187822,0.2985133	0.58122064,0.25187114	0.70462953,0.11899716	0.62263899,0.1880577	0.6375033,0.16544136	0.75097734,0.1242287	0.68400847,0.12523363	0.59218211,0.18742739	0.53472964,0.26392228	0.52700004,0.29027786	0.5168093,0.32170511	0.65088716,0.13917372	0.55393576,0.26189316	0.729907,0.12909738	0.75216005,0.12401819
0.69035,0.12999	0.63473171,0.16879944	0.60734871,0.19261035	0.5824739,0.23108875	0.58140071,0.23273023	0.55986882,0.2828559	0.57348612,0.23369458	0.58938174,0.20543148	0.58016038,0.23413332	0.68875321,0.13516675	0.69279299,0.14233146	0.65046019,0.15581647	0.59784512,0.2010861	0.56707682,0.25217921	0.57033198,0.25742511	0.56926463,0.28901979	0.6597631,0.15312735	0.57818627,0.2450226	0.62454483,0.18214837	0.64258889,0.1656942	0.73002964,0.12555567	0.62030397,0.15778723	0.57972472,0.20383132	0.56978921,0.24776294	0.56978671,0.2692182	0.58197269,0.32253206	0.55819115,0.26949006	0.68038657,0.12166152	0.59079978,0.20157006	0.60578105,0.17718362	0.73532923,0.12225926	0.66080889,0.13171139	0.56089475,0.20338274	0.51851794,0.28466584	0.50829221,0.31130015	0.50556576,0.34754687	0.62464298,0.14720581	0.53375442,0.28561399	0.71043877,0.12467497	0.73294354,0.11680939
0.6675,0.14611	0.61758648,0.19958233	0.60096238,0.22798051	0.57797408,0.26897753	0.57870009,0.27536506	0.55572882,0.31724902	0.56900717,0.27090131	0.58094525,0.23749444	0.57456204,0.26865067	0.67274993,0.16855456	0.67400004,0.17165193	0.63638755,0.18442782	0.59240252,0.22630333	0.5665369,0.28913461	0.56905744,0.29520342	0.57393826,0.32416919	0.64852237,0.18915297	0.57440635,0.26882075	0.61380393,0.21446031	0.63403217,0.19881426	0.70204021,0.14826218	0.60982981,0.18969646	0.57827945,0.23398298	0.57118822,0.28972335	0.57411895,0.30419129	0.59430358,0.35388715	0.5671255,0.30758474	0.65741771,0.14905936	0.59140451,0.23947574	0.59356822,0.21970571	0.71056818,0.14064365	0.64408546,0.16137838	0.56073164,0.24436213	0.5255086,0.31730534	0.51873955,0.35240718	0.51719249,0.38763841	0.61854122,0.17935315	0.53665597,0.32028741	0.68968239,0.14261337	0.70939213,0.13932893
0.67019,0.2133	0.63675573,0.25740785	0.6225511,0.27259701	0.62565188,0.32234074	0.6202142,0.31909813	0.62265647,0.37872045	0.6143028,0.31525347	0.61986306,0.29551953	0.61256276,0.31616804	0.68456019,0.21390045	0.6829603,0.22243326	0.65523242,0.24536895	0.62318314,0.27803212	0.6196617,0.33757839	0.61495704,0.34085344	0.63460857,0.36896583	0.66597642,0.23683465	0.62084428,0.3215231	0.64045873,0.27358421	0.6523748,0.24156516	0.69154685,0.20762729	0.63165004,0.24583543	0.61722288,0.28146758	0.63046176,0.33060991	0.63778545,0.34125211	0.65368408,0.36672257	0.60923757,0.33545842	0.66573523,0.21847814	0.61535536,0.28954936	0.6196404,0.26546403	0.69726642,0.21157013	0.65846669,0.22604505	0.60403225,0.29812252	0.58987774,0.36714801	0.60192681,0.39858271	0.58814872,0.42558284	0.64565706,0.25233434	0.59393445,0.36921861	0.68460905,0.20729901	0.70003929,0.19464388
0.69573,0.2657	0.68281288,0.29859264	0.70016392,0.32682143	0.69211607,0.35032818	0.68524803,0.3483803	0.71056599,0.39501564	0.69658634,0.34042144	0.69704833,0.33593732	0.68790516,0.35277186	0.7214785,0.27400311	0.70916036,0.28557691	0.69998353,0.2975776	0.71096239,0.33867065	0.7121247,0.37230898	0.71922356,0.37213946	0.7206185,0.38891115	0.70607194,0.29356262	0.70676398,0.3560842	0.69253799,0.32149694	0.6992823,0.29256194	0.7065785,0.25384816	0.68826695,0.29323742	0.70258818,0.32173804	0.71068274,0.33560225	0.71853544,0.34319052	0.73949269,0.34765858	0.69032429,0.34305518	0.69492213,0.26757343	0.67368449,0.33031649	0.69862424,0.30480235	0.70846486,0.2512977	0.686789,0.26147977	0.66036944,0.32639867	0.66294237,0.38193989	0.66124295,0.403823	0.68290942,0.42742774	0.67766023,0.28396845	0.64428143,0.38047753	0.70344145,0.25688429	0.7174503,0.25437287
0.74277,0.35572	0.77066161,0.38516264	0.78221868,0.38111586	0.79648292,0.38125347	0.79446793,0.37718739	0.78417798,0.39116558	0.7922265,0.38539541	0.78712652,0.38728974	0.76625773,0.38934172	0.76580136,0.3643443	0.73496863,0.35427075	0.76276059,0.36218147	0.79185685,0.3946406	0.79312758,0.39565495	0.80283214,0.38855554	0.82061985,0.3769044	0.75624639,0.37183755	0.78426671,0.3899943	0.76091103,0.38034811	0.767731,0.36352846	0.73191897,0.34965845	0.76484352,0.35872771	0.78672961,0.36395054	0.81190535,0.35750126	0.81751486,0.34727924	0.8170199,0.34654093	0.78422998,0.37400619	0.7538071,0.36714667	0.76659301,0.38389635	0.778258,0.37563485	0.72398833,0.38037381	0.74462698,0.37630655	0.76981688,0.39995485	0.78001302,0.40483411	0.79294646,0.4065335	0.81643172,0.39606176	0.76650103,0.37629687	0.76874679,0.40383809	0.74788779,0.37076048	0.74836535,0.35638993
0.72798,0.42156	0.73800366,0.41861176	0.74783987,0.41020869	0.74772397,0.40994893	0.7443039,0.40929355	0.84533643,0.37224414	0.75523859,0.40457959	0.737936,0.41779132	0.7275967,0.41673904	0.73620694,0.41039135	0.71165225,0.42784287	0.75130523,0.41964649	0.75347069,0.42642365	0.74618233,0.42404231	0.77004803,0.4103132	0.75614875,0.39723466	0.74558897,0.41815917	0.74229479,0.41510126	0.74709037,0.42328507	0.74822202,0.42039149	0.71029054,0.41336585	0.74170691,0.41384227	0.74681544,0.41441797	0.76116831,0.3940906	0.79771486,0.36681938	0.78166233,0.36876613	0.73945688,0.40431515	0.72575963,0.44054461	0.71835121,0.40901556	0.72503293,0.41838779	0.69468032,0.42498249	0.72720188,0.42886517	0.74666015,0.43233459	0.74209439,0.4259772	0.74970509,0.42916512	0.76558699,0.41734688	0.75331763,0.42177229	0.74053841,0.42156709	0.71714982,0.42834855	0.70864715,0.42751563
